codecommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
82159;405;73;22;116;86;57;33;19
82160;215;46;24;59;34;31;12;9
82161;2825;594;156;928;516;345;175;111
82162;186;42;8;60;36;19;16;6
82163;41;9;4;7;13;3;5;1
82164;111;30;4;30;27;6;8;6
82165;386;109;20;122;68;39;22;7
82166;191;45;14;51;37;19;15;9
82167;1424;321;82;383;267;176;125;70
82168;294;77;23;91;50;27;17;9
82169;1740;488;108;484;293;206;95;67
82170;461;142;37;139;63;35;30;16
82171;995;234;61;340;173;96;52;40
82172;231;57;17;48;56;23;15;15
82173;806;181;53;241;161;87;46;37
82174;224;67;14;72;32;24;5;10
82175;198;41;10;53;51;20;8;14
82176;619;111;34;168;131;82;52;42
82177;139;20;12;27;37;23;16;4
82178;549;82;18;145;113;88;53;50
82179;1745;545;127;506;290;135;89;54
82180;432;115;31;137;56;47;28;18
82181;162;36;9;52;30;19;8;6
82182;288;72;18;90;46;24;16;20
82183;200;51;13;50;34;22;16;14
82184;623;142;21;194;129;66;37;34
82185;207;42;15;59;30;20;27;14
82186;4132;1430;276;1077;665;337;188;158
82187;556;183;44;123;97;30;36;44
82188;422;67;25;118;91;52;47;22
82189;564;145;39;163;99;50;39;30
82190;3499;817;210;873;680;396;281;241
82191;318;63;12;74;70;30;37;32
82192;392;86;15;120;54;42;48;27
82193;105;23;9;30;20;13;7;3
82194;1040;240;61;298;202;116;77;47
82195;564;130;43;155;113;63;35;25
83001;2146;470;137;451;378;250;199;261
83002;224;52;19;56;35;24;22;16
83003;763;100;52;225;169;99;70;48
83004;5362;1127;411;1537;969;536;440;342
83005;269;58;17;80;52;28;19;15
83006;188;34;15;52;35;21;11;20
83007;1830;385;172;504;389;148;115;115
83008;2229;429;151;599;419;260;224;147
83009;7045;1339;617;1629;1434;700;649;679
83010;180;30;11;52;45;21;8;13
83011;1086;243;71;301;223;83;102;63
83012;2325;647;147;625;405;210;159;132
83013;172;31;10;63;30;17;15;6
83014;186;25;9;54;53;13;19;13
83015;266;39;16;68;65;32;29;18
83016;7516;1121;472;1752;1457;1048;779;887
83017;1794;238;135;501;347;263;163;147
83018;2261;401;145;684;467;252;174;137
83019;6769;1427;539;1917;1324;638;496;427
83020;31;7;4;9;5;2;4;0
83021;1965;330;112;531;385;245;200;162
