CodeCommune;NSCOL15P;DIPLMIN;BEPC;CAPBEP;BAC;SUP2;SUP34;SUP5
64486;59;17;4;13;9;6;4;6
64487;161;25;10;54;37;12;9;14
64488;330;26;9;91;75;52;48;30
64489;250;28;6;84;56;36;26;13
64490;423;75;35;131;70;55;36;21
64491;158;24;12;62;22;14;15;10
64492;228;41;18;91;38;23;11;6
64493;1613;404;95;426;233;183;151;121
64494;198;36;14;55;31;31;24;7
64495;5276;621;286;1601;1068;700;535;465
64496;4505;645;231;1203;871;664;512;379
64498;289;47;18;100;41;36;21;25
64499;3870;866;343;1106;622;355;367;212
64500;224;39;9;82;48;22;18;7
64501;471;69;17;177;95;49;39;25
64502;527;69;23;176;102;69;63;25
64503;75;12;8;19;13;8;11;6
64504;2127;403;95;703;428;211;155;133
64505;216;37;11;74;41;31;16;7
64506;146;26;5;50;30;14;9;12
64507;100;12;2;20;23;23;15;5
64508;108;18;9;29;12;14;10;16
64509;146;17;10;47;30;18;11;13
64510;737;127;57;257;134;89;46;27
64511;2556;346;104;578;513;415;312;288
64512;190;34;8;71;40;21;13;2
64513;1111;328;82;304;160;93;87;58
64514;147;19;10;51;29;20;15;5
64515;175;31;7;58;41;27;8;3
64516;294;47;10;100;44;43;29;21
64517;134;33;6;48;18;11;14;5
64518;824;79;43;217;122;142;114;108
64519;3216;333;140;875;617;512;341;398
64520;628;41;18;119;117;64;95;174
64521;456;76;16;146;96;59;35;28
64522;451;91;22;125;86;51;43;34
64523;556;58;24;184;123;82;52;33
64524;309;59;18;89;62;45;28;8
64525;585;74;27;169;139;75;49;52
64526;1160;137;76;321;235;148;115;128
64527;1158;144;71;354;232;158;117;82
64528;131;31;8;33;31;13;9;7
64529;299;72;25;103;49;22;21;7
64530;274;58;10;74;62;34;20;15
64531;34;11;0;9;10;3;1;0
64532;55;10;4;22;8;4;6;0
64533;496;157;29;134;73;46;37;21
64534;142;26;14;41;32;16;2;10
64535;390;44;11;140;91;55;23;26
64536;642;75;25;199;124;104;60;55
64537;113;19;7;34;23;17;5;7
64538;638;107;67;207;115;61;56;25
64539;164;18;9;51;36;26;18;8
64540;2131;218;78;632;420;364;241;178
64542;58;6;2;23;8;7;6;5
64543;236;67;18;85;21;21;19;5
64544;53;7;3;20;6;6;6;5
64545;8277;1281;401;2270;1582;1057;889;798
64546;1774;226;71;512;356;254;181;174
64547;5772;797;280;1705;1090;853;617;430
64548;116;18;6;27;28;16;15;6
64549;981;72;32;252;288;173;102;64
64550;657;122;39;148;97;100;84;66
64551;226;28;13;67;49;27;27;15
64552;137;16;4;59;21;29;4;3
64554;156;28;7;34;41;28;10;9
64555;133;18;8;47;23;14;16;8
